           time          epoch      iteration  learning_rate   nll_joint_tr   nll_class_tr      cat_ce_tr         acc_tr
            0.5      0002/0400      0069/0090      0.01000        4.62150        4.62179        4.62024        0.06250
            0.5      0002/0400      0070/0090      0.01000        4.62530        4.62550        3.30992        0.15625
            0.5      0002/0400      0071/0090      0.01000        4.61967        4.62002        5.74814        0.09375
            0.5      0002/0400      0072/0090      0.01000        4.61972        4.61999        4.30747        0.12500
            0.5      0002/0400      0073/0090      0.01000        4.61660        4.61684        3.85642        0.03125
            0.5      0002/0400      0074/0090      0.01000        4.62077        4.62100        3.73784        0.03125
            0.5      0002/0400      0075/0090      0.01000        4.62097        4.62125        4.59722        0.09375
            0.5      0002/0400      0076/0090      0.01000        4.61820        4.61841        3.57076        0.18750
            0.5      0002/0400      0077/0090      0.01000        4.62318        4.62346        4.71829        0.09375
            0.5      0002/0400      0078/0090      0.01000        4.62593        4.62618        4.08251        0.03125
            0.6      0002/0400      0079/0090      0.01000        4.62143        4.62167        3.94856        0.00000
            0.6      0002/0400      0080/0090      0.01000        4.62214        4.62240        4.31606        0.12500
            0.6      0002/0400      0081/0090      0.01000        4.61749        4.61769        3.35583        0.06250
            0.6      0002/0400      0082/0090      0.01000        4.62364        4.62386        3.70696        0.03125
            0.6      0002/0400      0083/0090      0.01000        4.62094        4.62117        3.73089        0.15625
            0.6      0002/0400      0084/0090      0.01000        4.62576        4.62598        3.61886        0.03125
            0.6      0002/0400      0085/0090      0.01000        4.62519        4.62540        3.37375        0.09375
            0.6      0002/0400      0086/0090      0.01000        4.61800        4.61839        6.34475        0.09375
            0.6      0002/0400      0087/0090      0.01000        4.61811        4.61861        8.13341        0.03125
            0.6      0002/0400      0088/0090      0.01000        4.62529        4.62569        6.56865        0.03125
            0.6      0002/0400      0089/0090      0.01000        4.62662        4.62683        3.43403        0.09375
            0.6      0003/0400      0000/0090      0.01000        4.61851        4.61873        3.51745        0.12500
            0.6      0003/0400      0001/0090      0.01000        4.61693        4.61726        5.40101        0.03125
            0.6      0003/0400      0002/0090      0.01000        4.62127        4.62147        3.30413        0.09375
            0.6      0003/0400      0003/0090      0.01000        4.61860        4.61889        4.72413        0.15625
            0.6      0003/0400      0004/0090      0.01000        4.61666        4.61691        4.16722        0.06250
            0.6      0003/0400      0005/0090      0.01000        4.61564        4.61587        3.79929        0.03125
            0.6      0003/0400      0006/0090      0.01000        4.61337        4.61364        4.54021        0.06250
            0.6      0003/0400      0007/0090      0.01000        4.61868        4.61895        4.36683        0.03125
            0.6      0003/0400      0008/0090      0.01000        4.61758        4.61783        4.09126        0.12500
            0.6      0003/0400      0009/0090      0.01000        4.61492        4.61513        3.41000        0.06250
            0.6      0003/0400      0010/0090      0.01000        4.61435        4.61459        3.85763        0.03125
            0.6      0003/0400      0011/0090      0.01000        4.61824        4.61843        3.13067        0.12500
            0.6      0003/0400      0012/0090      0.01000        4.62025        4.62052        4.35466        0.06250
            0.6      0003/0400      0013/0090      0.01000        4.61332        4.61357        4.00359        0.03125
            0.6      0003/0400      0014/0090      0.01000        4.62118        4.62139        3.46926        0.09375
            0.6      0003/0400      0015/0090      0.01000        4.61406        4.61430        3.90547        0.06250
            0.6      0003/0400      0016/0090      0.01000        4.61405        4.61428        3.92221        0.09375
            0.6      0003/0400      0017/0090      0.01000        4.61465        4.61489        3.81680        0.06250
            0.6      0003/0400      0018/0090      0.01000        4.61369        4.61397        4.65350        0.06250
            0.6      0003/0400      0019/0090      0.01000        4.61219        4.61257        6.30455        0.09375
            0.6      0003/0400      0020/0090      0.01000        4.61685        4.61713        4.59861        0.03125
            0.6      0003/0400      0021/0090      0.01000        4.61972        4.61999        4.40350        0.06250
            0.6      0003/0400      0022/0090      0.01000        4.61364        4.61393        4.74684        0.06250
            0.6      0003/0400      0023/0090      0.01000        4.61352        4.61384        5.38115        0.03125
            0.6      0003/0400      0024/0090      0.01000        4.61050        4.61084        5.51629        0.12500
            0.6      0003/0400      0025/0090      0.01000        4.60990        4.61025        5.70344        0.09375
            0.6      0003/0400      0026/0090      0.01000        4.61073        4.61099        4.12185        0.03125
            0.6      0003/0400      0027/0090      0.01000        4.60987        4.61012        4.15084        0.09375
            0.6      0003/0400      0028/0090      0.01000        4.60759        4.60787        4.52270        0.12500
            0.7      0003/0400      0029/0090      0.01000        4.61085        4.61109        3.91569        0.00000
            0.7      0003/0400      0030/0090      0.01000        4.60611        4.60639        4.67221        0.03125
            0.7      0003/0400      0031/0090      0.01000        4.60685        4.60710        4.21076        0.06250
            0.7      0003/0400      0032/0090      0.01000        4.60871        4.60890        3.18041        0.09375
            0.7      0003/0400      0033/0090      0.01000        4.61052        4.61077        4.01050        0.15625
            0.7      0003/0400      0034/0090      0.01000        4.60903        4.60926        3.75960        0.09375
            0.7      0003/0400      0035/0090      0.01000        4.60410        4.60435        3.95843        0.06250
            0.7      0003/0400      0036/0090      0.01000        4.60788        4.60812        3.97017        0.03125
            0.7      0003/0400      0037/0090      0.01000        4.60399        4.60431        5.15137        0.06250
            0.7      0003/0400      0038/0090      0.01000        4.60271        4.60300        4.67507        0.03125
            0.7      0003/0400      0039/0090      0.01000        4.60731        4.60756        4.21268        0.09375
            0.7      0003/0400      0040/0090      0.01000        4.60456        4.60480        3.98850        0.12500
            0.7      0003/0400      0041/0090      0.01000        4.60274        4.60295        3.45243        0.15625
            0.7      0003/0400      0042/0090      0.01000        4.60278        4.60300        3.54662        0.03125
            0.7      0003/0400      0043/0090      0.01000        4.60512        4.60536        3.77319        0.18750
            0.7      0003/0400      0044/0090      0.01000        4.60585        4.60615        4.89887        0.03125
            0.7      0003/0400      0045/0090      0.01000        4.60267        4.60289        3.63110        0.06250
            0.7      0003/0400      0046/0090      0.01000        4.60404        4.60428        4.06229        0.15625
            0.7      0003/0400      0047/0090      0.01000        4.60250        4.60271        3.38162        0.03125
            0.7      0003/0400      0048/0090      0.01000        4.60336        4.60356        3.31920        0.12500
            0.7      0003/0400      0049/0090      0.01000        4.60261        4.60289        4.48082        0.03125
            0.7      0003/0400      0050/0090      0.01000        4.60501        4.60522        3.48370        0.06250
            0.7      0003/0400      0051/0090      0.01000        4.60024        4.60047        3.78197        0.09375
            0.7      0003/0400      0052/0090      0.01000        4.60460        4.60482        3.48046        0.09375
            0.7      0003/0400      0053/0090      0.01000        4.60365        4.60387        3.57775        0.09375
            0.7      0003/0400      0054/0090      0.01000        4.60150        4.60173        3.79552        0.09375
            0.7      0003/0400      0055/0090      0.01000        4.60322        4.60345        3.69908        0.00000
            0.7      0003/0400      0056/0090      0.01000        4.60248        4.60274        4.11036        0.03125
            0.7      0003/0400      0057/0090      0.01000        4.60220        4.60249        4.80653        0.00000
            0.7      0003/0400      0058/0090      0.01000        4.59983        4.60010        4.40150        0.03125
