           time          epoch      iteration  learning_rate   nll_joint_tr   nll_class_tr      cat_ce_tr         acc_tr
            0.3      0001/0400      0058/0090      0.01000        4.60725        4.60753        4.61261        0.03125
            0.3      0001/0400      0059/0090      0.01000        4.60689        4.60714        4.03378        0.09375
            0.3      0001/0400      0060/0090      0.01000        4.60714        4.60736        3.55573        0.09375
            0.3      0001/0400      0061/0090      0.01000        4.60636        4.60660        3.87321        0.12500
            0.3      0001/0400      0062/0090      0.01000        4.60683        4.60709        4.17794        0.18750
            0.3      0001/0400      0063/0090      0.01000        4.60711        4.60733        3.55037        0.12500
            0.3      0001/0400      0064/0090      0.01000        4.60461        4.60484        3.80907        0.15625
            0.3      0001/0400      0065/0090      0.01000        4.60637        4.60659        3.60340        0.12500
            0.3      0001/0400      0066/0090      0.01000        4.60426        4.60454        4.60114        0.06250
            0.3      0001/0400      0067/0090      0.01000        4.60429        4.60455        4.23225        0.06250
            0.3      0001/0400      0068/0090      0.01000        4.60804        4.60828        3.97428        0.06250
            0.3      0001/0400      0069/0090      0.01000        4.61007        4.61030        3.75906        0.00000
            0.3      0001/0400      0070/0090      0.01000        4.60758        4.60780        3.69445        0.06250
            0.3      0001/0400      0071/0090      0.01000        4.60670        4.60694        3.86555        0.06250
            0.3      0001/0400      0072/0090      0.01000        4.60329        4.60356        4.39480        0.12500
            0.3      0001/0400      0073/0090      0.01000        4.60716        4.60737        3.51662        0.03125
            0.3      0001/0400      0074/0090      0.01000        4.60893        4.60916        3.67774        0.06250
            0.3      0001/0400      0075/0090      0.01000        4.60580        4.60612        5.27160        0.03125
            0.3      0001/0400      0076/0090      0.01000        4.60453        4.60480        4.51765        0.03125
            0.3      0001/0400      0077/0090      0.01000        4.60700        4.60724        3.79758        0.00000
            0.3      0001/0400      0078/0090      0.01000        4.60458        4.60486        4.54703        0.03125
            0.3      0001/0400      0079/0090      0.01000        4.60291        4.60319        4.68693        0.00000
            0.3      0001/0400      0080/0090      0.01000        4.60284        4.60310        4.25799        0.09375
            0.3      0001/0400      0081/0090      0.01000        4.60308        4.60330        3.61540        0.06250
            0.3      0001/0400      0082/0090      0.01000        4.60809        4.60830        3.49421        0.06250
            0.3      0001/0400      0083/0090      0.01000        4.60817        4.60837        3.34689        0.12500
            0.3      0001/0400      0084/0090      0.01000        4.60448        4.60477        4.71461        0.03125
            0.3      0001/0400      0085/0090      0.01000        4.60448        4.60473        4.17685        0.06250
            0.3      0001/0400      0086/0090      0.01000        4.60802        4.60822        3.31975        0.06250
            0.3      0001/0400      0087/0090      0.01000        4.60533        4.60561        4.66473        0.00000
            0.3      0001/0400      0088/0090      0.01000        4.60717        4.60740        3.63691        0.03125
            0.3      0001/0400      0089/0090      0.01000        4.60319        4.60347        4.60033        0.09375
            0.4      0002/0400      0000/0090      0.01000        4.60467        4.60488        3.57776        0.15625
            0.4      0002/0400      0001/0090      0.01000        4.60533        4.60554        3.45605        0.06250
            0.4      0002/0400      0002/0090      0.01000        4.60660        4.60683        3.70440        0.09375
            0.4      0002/0400      0003/0090      0.01000        4.60357        4.60380        3.73280        0.06250
            0.4      0002/0400      0004/0090      0.01000        4.60302        4.60326        3.80165        0.03125
            0.4      0002/0400      0005/0090      0.01000        4.60964        4.60986        3.74081        0.06250
            0.4      0002/0400      0006/0090      0.01000        4.60583        4.60610        4.30350        0.12500
            0.4      0002/0400      0007/0090      0.01000        4.60436        4.60458        3.53367        0.12500
            0.4      0002/0400      0008/0090      0.01000        4.60675        4.60701        4.19058        0.15625
            0.4      0002/0400      0009/0090      0.01000        4.60200        4.60225        4.13479        0.09375
            0.4      0002/0400      0010/0090      0.01000        4.60482        4.60507        4.00206        0.09375
            0.4      0002/0400      0011/0090      0.01000        4.60695        4.60717        3.57841        0.06250
            0.4      0002/0400      0012/0090      0.01000        4.60183        4.60209        4.20855        0.09375
